,mmol/s/m2,mmol/s/m2,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,,Kg,Kg,%,%,%,%,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg
Days, E, g_leaf, P_leaf_symplasmic,  P_leaf_apoplasmic, P_branch_s, P_branch_a, P_trunk_s, P_trunk_a, P_root_s, P_root_a, P_soil, REW, Q_H20_plant, DQ_soil, PLC_leaf, PLC_branch, PLC_trunk, PLC_root, Q_H20_leaf_s, Q_leaf_a, Q_branch_s, Q_branch_a, Q_trunk_s, Q_trunk_a, Q_root_s, Q_root_a
28.65,0.01809485,2,-2.637043,-2.632184,-2.629581,-2.629686,-2.628209,-2.628498,-2.626514,-2.627501,-2.613716,0.2204803,0.130281,5.626603,32.39687,32.28884,32.23582,32.19191,0.02133049,0.008434597,0.006655175,0.004505666,0.03995075,0.02705503,0.01332532,0.009023963
29.65,0.0180807,2,-2.700649,-2.695802,-2.69307,-2.693198,-2.691665,-2.69197,-2.689905,-2.690935,-2.676567,0.2191534,0.126314,5.636152,35.24315,35.12786,35.06837,35.02101,0.02082812,0.008079415,0.00649828,0.004316716,0.03900892,0.02592391,0.0130113,0.008647388
30.65,0.01806625,2,-2.765604,-2.760724,-2.757913,-2.758004,-2.756445,-2.756708,-2.754605,-2.755647,-2.740703,0.2178389,0.1222743,5.645612,38.26215,38.13646,38.07294,38.02177,0.02033894,0.007702811,0.006345496,0.004116548,0.03809217,0.02472451,0.01270569,0.008248104
31.65,0.0180515,2,-2.83197,-2.827145,-2.824138,-2.824275,-2.822606,-2.822928,-2.820675,-2.821798,-2.806172,0.216536,0.1181669,5.654987,41.44287,41.30872,41.23841,41.18339,0.0198623,0.00730616,0.006196697,0.00390556,0.0371993,0.02346129,0.01240808,0.00782755
32.65,0.01803642,2,-2.899835,-2.895025,-2.891837,-2.891985,-2.890229,-2.890565,-2.888188,-2.889374,-2.873045,0.2152436,0.1139999,5.664284,44.77059,44.62822,44.55029,44.49135,0.01939746,0.006891302,0.006051629,0.003684846,0.03632894,0.02214004,0.01211803,0.007387664
33.65,0.01802098,2,-2.969313,-2.964506,-2.961114,-2.961268,-2.959425,-2.959761,-2.957258,-2.958506,-2.941417,0.2139602,0.1097837,5.673514,48.22626,48.07879,47.98936,47.92664,0.01894358,0.006460615,0.005910048,0.003455483,0.03547951,0.02076844,0.011835,0.006930975
34.65,0.01800517,2,-3.040557,-3.035696,-3.032124,-3.032229,-3.030331,-3.030593,-3.028006,-3.029284,-3.011411,0.2126839,0.1055312,5.68269,51.78737,51.63261,51.53347,51.46658,0.01849971,0.006016907,0.00577164,0.003219319,0.03464933,0.01935532,0.01155848,0.0064605
35.65,0.01798893,2,-3.113751,-3.10894,-3.10502,-3.105176,-3.103122,-3.10343,-3.100605,-3.102007,-3.083184,0.2114126,0.1012581,5.691825,55.42681,55.26693,55.15556,55.08431,0.01806485,0.005563549,0.00563614,0.002977866,0.03383655,0.01791147,0.01128785,0.005979805
36.65,0.01797221,2,-3.189107,-3.184334,-3.180116,-3.17845,-3.177999,-3.178339,-3.17525,-3.176305,-3.156924,0.2101437,0.09698203,5.700938,59.11408,58.95622,58.82506,58.74934,0.01763799,0.005104343,0.005503046,0.00273283,0.03303933,0.01644906,0.01102249,0.005492947
37.65,0.01795496,2,-3.266945,-3.262148,-3.25741,-3.257635,-3.255249,-3.2556,-3.252208,-3.253902,-3.232853,0.2088742,0.09272308,5.710049,62.81673,62.64973,62.50987,62.42949,0.01721775,0.004643323,0.005372467,0.002487546,0.03225527,0.01498088,0.01076166,0.005004176
38.65,0.01793711,2,-3.34754,-3.342781,-3.337654,-3.337813,-3.335132,-3.335509,-3.331734,-3.333618,-3.311231,0.2076014,0.08850261,5.719176,66.49788,66.3233,66.17324,66.08843,0.01680322,0.004185076,0.005243301,0.00224365,0.0314827,0.01352155,0.01050479,0.00451833
39.65,0.01791857,2,-3.431275,-3.426526,-3.420837,-3.420973,-3.417993,-3.418373,-3.414151,-3.416256,-3.392356,0.2063219,0.08434361,5.728344,70.12087,69.93692,69.77842,69.68884,0.01639316,0.00373416,0.005115802,0.002003777,0.03071947,0.01208569,0.0102512,0.004040352
40.65,0.01789924,2,-3.518588,-3.513781,-3.507348,-3.507457,-3.504229,-3.504568,-3.499831,-3.50221,-3.476556,0.2050322,0.08026974,5.737575,73.64619,73.45167,73.2865,73.19277,0.01598637,0.003295481,0.004989618,0.001770514,0.0299635,0.01068876,0.01000024,0.003575268
41.65,0.01787904,2,-3.609951,-3.60514,-3.597876,-3.594618,-3.594229,-3.594568,-3.589123,-3.589887,-3.564196,0.2037296,0.07630423,5.746891,77.03758,76.82543,76.66075,76.56186,0.01558177,0.002873543,0.004864071,0.001546659,0.0292132,0.009345352,0.009751449,0.003128177
42.65,0.01785783,2,-3.70591,-3.701175,-3.692672,-3.692792,-3.688474,-3.688858,-3.682465,-3.68565,-3.655663,0.2024107,0.07246987,5.756314,80.25582,80.04019,79.86251,79.75914,0.01517831,0.00247321,0.004739203,0.001333363,0.02846677,0.008070826,0.009504273,0.002703921
43.65,0.01783547,2,-3.807131,-3.802333,-3.792072,-3.792298,-3.787488,-3.787816,-3.78032,-3.784056,-3.751374,0.2010724,0.06878842,5.765864,83.26822,83.03912,82.85954,82.75166,0.01477476,0.002098539,0.004614977,0.00113443,0.02772259,0.00687797,0.009258249,0.00230691
44.65,0.01781183,2,-3.914298,-3.909569,-3.897618,-3.897719,-3.891775,-3.892152,-3.883064,-3.887588,-3.851749,0.1997129,0.0652775,5.775557,86.04635,85.7905,85.62281,85.51029,0.01437025,0.001753049,0.004490005,0.000951937,0.02697971,0.005778295,0.009013281,0.001940975
45.65,0.01778669,2,-4.028249,-4.023511,-4.008976,-4.009007,-4.001923,-4.002077,-3.991199,-3.996602,-3.957211,0.1983301,0.06195219,5.785409,88.56492,88.28796,88.12786,88.01097,0.01396374,0.001439867,0.004365285,0.000786304,0.02623712,0.004781487,0.008769082,0.001609291
46.65,0.01775988,2,-4.149951,-4.145227,-4.127158,-4.127234,-4.118511,-4.11886,-4.105115,-4.111934,-4.068165,0.1969232,0.05882161,5.795425,90.80834,90.52024,90.35878,90.23779,0.01355424,0.001160917,0.004240285,0.000638268,0.02549439,0.003893811,0.008525742,0.00131395
47.65,0.0177311,2,-4.280639,-4.275913,-4.252974,-4.253046,-4.242186,-4.242491,-4.225192,-4.233662,-4.184984,0.1954923,0.05588972,5.805607,92.76969,92.46885,92.30882,92.18382,0.01314043,0.000917041,0.004114844,0.000509044,0.02475114,0.003117911,0.008283446,0.001055857
48.65,0.01770004,2,-4.421917,-4.41721,-4.387458,-4.387522,-4.373627,-4.37395,-4.351708,-4.362648,-4.307996,0.1940386,0.05315358,5.815952,94.45079,94.13468,93.97963,93.85119,0.0127206,0.000707994,0.003988717,0.000398566,0.02400729,0.002453076,0.008042624,0.000834708
49.65,0.01766619,2,-4.57599,-4.571302,-4.53158,-4.531645,-4.513542,-4.513862,-4.484801,-4.499118,-4.437459,0.1925647,0.0506036,5.826447,95.86163,95.53702,95.38113,95.25092,0.0122923,0.000532514,0.00386186,0.000305546,0.02326309,0.001895311,0.007803947,0.00064903
50.65,0.01762882,2,-4.746277,-4.741623,-4.686888,-4.686956,-4.662764,-4.663082,-4.624692,-4.643517,-4.573553,0.1910744,0.04822311,5.837071,97.02075,96.68816,96.53156,96.39899,0.01185128,0.000388278,0.00373389,0.000229161,0.02251861,0.001437318,0.007567888,0.000496689
51.65,0.01758672,2,-4.938441,-4.93384,-4.85517,-4.855187,-4.822192,-4.822507,-4.771084,-4.796056,-4.716354,0.1895732,0.04598847,5.847799,97.95214,97.61207,97.45439,97.32111,0.01139012,0.00027228,0.003604472,0.000167814,0.02177411,0.00106972,0.007335681,0.000374267
52.65,0.01753761,2,-5.16298,-5.158479,-5.038776,-5.038825,-4.992643,-4.992957,-4.92366,-4.957064,-4.865798,0.1880691,0.04386801,5.858594,98.68353,98.3336,98.17633,98.0436,0.01089476,0.000181041,0.00347313,0.000119851,0.02103074,0.000781865,0.00710836,0.000278265
53.65,0.01747656,2,-5.442772,-5.43847,-5.239332,-5.239396,-5.174039,-5.174346,-5.081397,-5.12561,-5.021586,0.1865738,0.04181847,5.869404,99.24373,98.87802,98.72412,98.59536,0.0103347,0.000110918,0.003340183,8.35911E-05,0.02029342,0.000563103,0.006887702,0.00020485
