,mmol/s/m2,mmol/s/m2,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,,Kg,Kg,%,%,%,%,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg
Days, E, g_leaf, P_leaf_s,  P_leaf_a, P_branch_s, P_branch_a, P_trunk_s, P_trunk_a, P_root_s, P_root_a, P_soil, REW, Q_plant, DQ_soil, PLC_leaf, PLC_branch, PLC_trunk, PLC_root, Q_leaf_s, Q_leaf_a, Q_branch_s, Q_branch_a, Q_trunk_s, Q_trunk_a, Q_root_s, Q_root_a
30.65,0.03540023,4,-4.420203,-4.410834,-4.352296,-4.352455,-4.326537,-4.327193,-4.287262,-4.306758,-4.206269,0.1947922,0.05391618,5.807746,94.38356,93.74305,93.42846,93.17571,0.01272553,0.000716355,0.004020941,0.000424541,0.02426859,0.002672404,0.008163521,0.000924303
31.65,0.03523668,4,-4.792837,-4.783648,-4.666368,-4.666521,-4.620647,-4.621288,-4.553011,-4.585915,-4.458976,0.1918504,0.04860042,5.828496,97.25434,96.55552,96.24065,95.9765,0.01173615,0.000359197,0.003750309,0.000237964,0.02272386,0.001553149,0.007687034,0.000552757
32.65,0.034974,4,-5.39463,-5.386314,-5.039208,-5.03932,-4.953763,-4.954313,-4.837227,-4.892187,-4.734969,0.1889294,0.04372459,5.849494,99.16128,98.33519,98.03267,97.77871,0.01042693,0.000121264,0.003472833,0.000119746,0.0211958,0.000839175,0.007235375,0.000313474
33.65,0.000626925,4,-122.1211,-122.121,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,0.188863,0.03385528,5.856409,100,98.53138,98.27206,98.03631,0.000460604,-0.000274392,0.003615333,0.000107085,0.02169138,0.000745325,0.007230357,0.000279593
34.65,0.000562893,4,-122.4536,-122.4535,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,0.188863,0.0338532,5.856409,100,98.53138,98.27206,98.03631,0.000459353,-0.000275223,0.003615333,0.000107085,0.02169138,0.000745325,0.007230357,0.000279593
35.65,0.000562857,4,-122.4539,-122.4538,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,0.188863,0.0338532,5.856409,100,98.53138,98.27206,98.03631,0.000459352,-0.000275224,0.003615333,0.000107085,0.02169138,0.000745325,0.007230357,0.000279593
36.65,0.000562821,4,-122.4542,-122.4541,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,0.188863,0.0338532,5.856409,100,98.53138,98.27206,98.03631,0.000459351,-0.000275225,0.003615333,0.000107085,0.02169138,0.000745325,0.007230357,0.000279593
37.65,0.000562785,4,-122.4545,-122.4545,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,0.188863,0.0338532,5.856409,100,98.53138,98.27206,98.03631,0.00045935,-0.000275226,0.003615333,0.000107085,0.02169138,0.000745325,0.007230357,0.000279593
38.65,0.000562749,4,-122.4549,-122.4548,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,0.188863,0.0338532,5.856409,100,98.53138,98.27206,98.03631,0.000459348,-0.000275226,0.003615333,0.000107085,0.02169138,0.000745325,0.007230357,0.000279593
39.65,0.000562713,4,-122.4552,-122.4551,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,0.188863,0.03385319,5.856409,100,98.53138,98.27206,98.03631,0.000459347,-0.000275227,0.003615333,0.000107085,0.02169138,0.000745325,0.007230357,0.000279593
40.65,0.000562677,4,-122.4555,-122.4554,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,0.188863,0.03385319,5.856409,100,98.53138,98.27206,98.03631,0.000459346,-0.000275228,0.003615333,0.000107085,0.02169138,0.000745325,0.007230357,0.000279593
41.65,0.000562641,4,-122.4558,-122.4558,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,-4.840584,0.188863,0.03385319,5.856409,100,98.53138,98.27206,98.03631,0.000459345,-0.000275229,0.003615333,0.000107085,0.02169138,0.000745325,0.007230357,0.000279593
